track_id	track_name
101141471	Art Counter
101832223	无地自容
102065756	七里香
102172132	落花
102216906	好心分手
102301733	思念是一把刀
102386052	相思曲
102445836	Pop It In 2
102664784	我的唇吻不到我爱的人
103971894	看月亮爬上来 (Live)
103991981	迟到
104780330	勋章
104828950	一个人的冬天
104926763	爱的早餐
105108674	A Head Full Of Dreams
105161112	给你一点颜色 (Live)
105245918	7
105388773	残雪
105459897	一首特别的歌
105461940	开门见山 (Live)
105480269	我乘着风飞过来
105519195	山外小楼夜听雨
105561417	第02集 (节目)
105589446	Bailemen Swing
105633079	烟雨行舟
105645290	爱多一次痛多一次
105872922	男儿当自强 (国语)
106587238	没事儿	多心疼自己一点儿 (节目)
107437319	删除
107529859	哭砂
107644472	人的命天注定
107961694	原来都是梦
108151068	越来越不懂
108173016	济南济南
108339984	我想我需要找个人聊聊天可是你又不会主动问我怎么了
108406333	我爱你 (Live)
108492345	当年情
108962154	【京剧】霸王别姬
109295065	领悟 (Live)
121596016	我好像在哪儿见过你
123961798	幸福童年
124059593	2008年的第一场雪
124357784	岁月神偷 (Live)
124957540	爸爸去哪儿原唱版
125854211	有钱了 (小品版)
126692753	生僻字（粤语版）
200389487	神曲
201308159	漂洋过海来看你
201573468	飞越彩灵堡 (Ending)
201574788	2009年最新女生非主流 dj
201727319	瑶池金母找子(女声独唱)
201864140	【豫剧】香魂塘月朦胧我心寒意冷
202156959	尚好的青春
202418459	一壶老酒
202816040	下辈子也要找到你
202891299	因为一个人
203186829	Despacito
203523082	你猜我猜不猜
203723533	三生三世 (Live)
203741325	普通人
203806467	Unforgettable
204179842	远走高飞
204194107	vol.74  别拿冯巩不当演员/下 (节目)
204275413	都选CDemo
204450402	我的歌声里 (DJ版)
205684555	Run Free (Radio Edit)
208399357	Exercise
209457344	水手 (Live)
209577862	【豫剧】香魂女 送环环自由身另选佳婿
211286175	我们不一样 (粤语)
211926293	你让我懂
212053624	草原
212623641	狐狸
212656866	陪我轻轻唱
212658058	别有天
212683147	想你 (Live)
212683151	给自己的歌 (Live)
212694817	祈祷 (Live)
212698695	跳舞街 (Live)
212982786	不会再爱
213038620	听说爱情回来过
213326394	流浪的终点
213503290	微不足道的小事是我还爱着你
213764421	不仅仅是喜欢 (DJ版)
213792281	染
213942687	甜
213959517	一阵风吹过
214037844	公虾米
214074153	那是你离开了北京的生活
214370260	多余的温柔
215166515	抖音98k隔壁泰山
215436008	离开 (Live)
215641634	多想留在你身边 (DJ版)
216386446	开门见山 (Live)
217139920	Opera No. 2 (HD)
217636298	改版Shahmen mark (Remix)
219165301	独善其身
221656836	有话对你说
224727130	小半 (Live)
225097904	安静 (Live)
225210205	当你老了 (Live)
226391733	生僻字
226573343	再见 (Live)
226573351	怒放的生命 (Live)
226573464	像我这样的人 (Live)
227195808	白雪
227413860	写给黄淮
227829393	一半人生
228008167	知否知否 (男声版)
228213136	Kiss Goodbye (Live)
49	Traveling Light
124	像我这样的女孩
145	狗尾草 (DJ Sevi)
174	Horizon
231	Good People
262	Teenage Life
283	幸福渠
488	友情岁月
558	Copy Cat
592	Just Can't Get Enough
